Woonplaats code,Plaats,Plaatsnaam lengte,Postcode,Gemeente,Provincie
3636,Lageland,8,9622–9622,Groningen,Groningen
3635,Harkstede,9,9614–9614,Groningen,Groningen
3634,Steenbergen,11,9307–9307,Noordenveld,Drenthe
3633,Roderesch,9,9305–9305,Noordenveld,Drenthe
3632,Muiden,6,1398–1398,Gooise Meren,Noord-Holland
3631,Weesp,5,1381–1383,Weesp,Noord-Holland
3630,Arriën,6,7735–7735,Ommen,Overijssel
3629,Ommen,5,7731–7731,Ommen,Overijssel
3628,Ottoland,8,2975–2975,Molenlanden,Zuid-Holland
3627,Goudriaan,9,2977–2977,Molenlanden,Zuid-Holland
3626,Hoef en Haag,12,4125–4125,Vijfheerenlanden,Utrecht
3625,Hagestein,9,4124–4124,Vijfheerenlanden,Utrecht
3624,Bavel,5,4854–4854,Breda,Noord-Brabant
3623,Teteringen,10,4847–4847,Breda,Noord-Brabant
3622,Breda,5,4801–4839,Breda,Noord-Brabant
3619,Oosterblokker,13,1696–1696,Drechterland,Noord-Holland
3618,Berg en Dal,11,6571–6572,Berg en Dal,Gelderland
3616,Goutum,6,9084–9084,Leeuwarden,Fryslân
3615,"Leeuwarden /Ljouwert",21,8901–8938,Leeuwarden,Fryslân
3614,Hoorn,5,1621–1628,Hoorn,Noord-Holland
3613,Blokker,7,1695–1695,Hoorn,Noord-Holland
3612,Vinkel,6,5381–5383,'s-Hertogenbosch,Noord-Brabant
3611,Nuland,6,5391–5392,'s-Hertogenbosch,Noord-Brabant
3610,Geffen,6,5386–5386,Oss,Noord-Brabant
3609,Bruchterveld,12,7695–7695,Hardenberg,Overijssel
3608,Hardenberg,10,7771–7772,Hardenberg,Overijssel
3607,Nijkerkerveen,13,3864–3864,Nijkerk,Gelderland
3606,Nijkerk,7,3861–3863,Nijkerk,Gelderland
3605,Oostrum,7,5807–5807,Venray,Limburg
3604,Oirlo,5,5808–5808,Venray,Limburg
3603,Nes,3,8494–8494,Heerenveen,Fryslân
3602,"Grouw /Grou",12,9001–9001,Leeuwarden,Fryslân
3601,Tiel,4,4001–4007,Tiel,Gelderland
3600,Zwartebroek,11,3785–3785,Barneveld,Gelderland
3599,Voorthuizen,11,3781–3781,Barneveld,Gelderland
3598,Terschuur,9,3784–3784,Barneveld,Gelderland
3597,Barneveld,9,3771–3773,Barneveld,Gelderland
3596,Oosterhout,10,4901–4908,Oosterhout,Noord-Brabant
3595,Den Hout,8,4911–4911,Oosterhout,Noord-Brabant
3594,Amsterdam,9,1001–1099,Amsterdam,Noord-Holland
3592,Ysbrechtum,10,8633–8633,Súdwest-Fryslân,Fryslân
3591,"Tirns /Turns",13,8632–8632,Súdwest-Fryslân,Fryslân
3590,Elshout,7,5154–5154,Heusden,Noord-Brabant
3589,Drunen,6,5151–5152,Heusden,Noord-Brabant
3588,Overberg,8,3959–3959,Utrechtse Heuvelrug,Utrecht
3587,Leersum,7,3956–3956,Utrechtse Heuvelrug,Utrecht
3584,Nijverdal,9,7441–7443,Hellendoorn,Overijssel
3583,Hellendoorn,11,7447–7447,Hellendoorn,Overijssel
3580,Putten,6,3881–3882,Putten,Gelderland
3577,"Haulerwijk /Haulerwyk",22,8433–8433,Ooststellingwerf,Fryslân
3576,"Haule /De Haule",16,8432–8432,Ooststellingwerf,Fryslân
3575,Halle,5,7025–7025,Bronckhorst,Gelderland
3574,Zelhem,6,7021–7021,Bronckhorst,Gelderland
3573,Vorden,6,7251–7251,Bronckhorst,Gelderland
3572,Wichmond,8,7234–7234,Bronckhorst,Gelderland
3571,Zenderen,8,7625–7625,Borne,Overijssel
3570,Hertme,6,7626–7626,Borne,Overijssel
3569,Amsterdam-Duivendrecht,22,1114–1114,Ouder-Amstel,Noord-Holland
3568,Duivendrecht,12,1114–1115,Ouder-Amstel,Noord-Holland
3567,Oostwoud,8,1678–1678,Medemblik,Noord-Holland
3566,Hauwert,7,1691–1692,Medemblik,Noord-Holland
3565,Wervershoof,11,1693–1693,Medemblik,Noord-Holland
3564,Hoog Soeren,11,7346–7346,Apeldoorn,Gelderland
3563,Radio Kootwijk,14,7348–7348,Apeldoorn,Gelderland
3562,Uddel,5,3888–3888,Apeldoorn,Gelderland
3561,Wenum Wiesel,12,7345–7345,Apeldoorn,Gelderland
3560,Apeldoorn,9,7311–7336,Apeldoorn,Gelderland
3556,Markenbinnen,12,1536–1536,Alkmaar,Noord-Holland
3555,Starnmeer,9,1488–1488,Alkmaar,Noord-Holland
3554,Oost-Graftdijk,14,1487–1487,Alkmaar,Noord-Holland
3553,De Rijp,7,1483–1483,Alkmaar,Noord-Holland
